,Ссылка,Метро,Время до метро,Общая площадь,Жилая площадь,Этаж,Этажность дома,Срок сдачи,Ванная,Ремонт,Цена
0,https://www.cian.ru/rent/flat/275888156/,Киевская,14.0,48.0,24.0,2.0,16.0,1988.0,,Дизайнерский,53500.0
1,https://www.cian.ru/rent/flat/275698431/,Текстильщики,,34.0,,8.0,20.0,2021.0,1 совмещенный,,45000.0
2,https://www.cian.ru/rent/flat/275245343/,Фили,1.0,38.0,20.0,3.0,5.0,1959.0,1 совмещенный,Косметический,45000.0
3,https://www.cian.ru/rent/flat/169981655/,Борисово,19.0,38.0,19.1,17.0,17.0,2003.0,1 совмещенный,Косметический,42000.0
4,https://www.cian.ru/rent/flat/275528458/,Верхние Лихоборы,3.0,38.0,18.0,13.0,17.0,2001.0,,Косметический,38000.0
5,https://www.cian.ru/rent/flat/270465897/,Юго-Западная,6.0,38.0,17.0,12.0,17.0,2002.0,1 совмещенный,Косметический,40000.0
6,https://www.cian.ru/rent/flat/275272078/,Студенческая,4.0,32.0,17.0,4.0,5.0,1967.0,1 совмещенный,,45000.0
7,https://www.cian.ru/rent/flat/275853104/,Братиславская,7.0,32.0,20.0,2.0,4.0,,1 совмещенный,Косметический,25000.0
8,https://www.cian.ru/rent/flat/260930745/,Кожуховская,13.0,33.0,21.0,8.0,8.0,1962.0,1 совмещенный,Косметический,30000.0
9,https://www.cian.ru/rent/flat/275848316/,Ховрино,19.0,43.0,20.0,10.0,17.0,1999.0,1 совмещенный,Косметический,35000.0
10,https://www.cian.ru/rent/flat/169520549/,Кантемировская,5.0,33.0,17.0,2.0,5.0,1964.0,1 совмещенный,Косметический,31000.0
11,https://www.cian.ru/rent/flat/228099120/,Коломенская,15.0,38.0,16.0,1.0,9.0,1965.0,1 совмещенный,Косметический,38000.0
12,https://www.cian.ru/rent/flat/247233458/,Бунинская аллея,15.0,35.0,19.0,3.0,17.0,,1 совмещенный,Евроремонт,35000.0
13,https://www.cian.ru/rent/flat/275730390/,Октябрьское поле,10.0,33.0,19.0,5.0,5.0,1962.0,1 совмещенный,Косметический,32000.0
14,https://www.cian.ru/rent/flat/269818411/,Братиславская,17.0,36.0,,11.0,17.0,1998.0,1 раздельный,Косметический,30000.0
15,https://www.cian.ru/rent/flat/275343425/,Домодедовская,1.0,34.0,25.0,1.0,12.0,1975.0,1 раздельный,Косметический,40000.0
16,https://www.cian.ru/rent/flat/222532890/,Бульвар Дмитрия Донского,50.0,46.0,22.0,2.0,5.0,,1 совмещенный,Евроремонт,35000.0
17,https://www.cian.ru/rent/flat/275308816/,Академическая,3.0,34.0,18.0,2.0,5.0,1959.0,,Евроремонт,45000.0
18,https://www.cian.ru/rent/flat/264948976/,Сухаревская,11.0,47.0,30.0,17.0,19.0,2018.0,1 совмещенный,Евроремонт,130000.0
19,https://www.cian.ru/rent/flat/275826327/,Коньково,10.0,36.0,19.0,5.0,9.0,,1 совмещенный,Косметический,40000.0
20,https://www.cian.ru/rent/flat/275767586/,Курьяново,5.0,36.0,21.0,11.0,32.0,2020.0,1 совмещенный,Евроремонт,45000.0
21,https://www.cian.ru/rent/flat/275764122/,Новодачная,25.0,29.0,22.0,2.0,9.0,2019.0,1 совмещенный,Дизайнерский,35000.0
22,https://www.cian.ru/rent/flat/216186464/,Сходненская,13.0,32.0,22.0,4.0,9.0,1966.0,1 совмещенный,Косметический,30000.0
23,https://www.cian.ru/rent/flat/242662654/,Бабушкинская,32.0,32.5,19.0,7.0,9.0,1969.0,1 совмещенный,Косметический,32000.0
24,https://www.cian.ru/rent/flat/275563560/,Хорошево,,30.0,16.0,16.0,27.0,,1 совмещенный,Евроремонт,65000.0
25,https://www.cian.ru/rent/flat/206950157/,Тимирязевская,19.0,33.0,20.0,12.0,12.0,1966.0,1 совмещенный,Косметический,35000.0
26,https://www.cian.ru/rent/flat/259282214/,Молодежная,5.0,50.0,19.0,8.0,20.0,2004.0,1 совмещенный,Евроремонт,60000.0
27,https://www.cian.ru/rent/flat/275830031/,Авиамоторная,15.0,14.0,8.0,2.0,10.0,,,Евроремонт,35000.0
28,https://www.cian.ru/rent/flat/260998226/,Кузьминки,4.0,56.0,20.0,6.0,24.0,1998.0,1 раздельный,Косметический,33000.0
29,https://www.cian.ru/rent/flat/274479733/,Парк Культуры,8.0,38.0,18.0,4.0,11.0,1966.0,,Косметический,65000.0
30,https://www.cian.ru/rent/flat/226682522/,Сходненская,3.0,36.0,18.0,3.0,12.0,1980.0,1 раздельный,Косметический,28000.0
31,https://www.cian.ru/rent/flat/275885828/,Орехово,5.0,35.0,19.0,1.0,17.0,1984.0,1 совмещенный,Косметический,32000.0
32,https://www.cian.ru/rent/flat/275857986/,Лухмановская,18.0,43.6,20.0,15.0,24.0,2007.0,1 совмещенный,Дизайнерский,43000.0
33,https://www.cian.ru/rent/flat/271978687/,Текстильщики,10.0,38.5,,6.0,9.0,1970.0,"1 совмещенный, 1 раздельный",Евроремонт,45000.0
34,https://www.cian.ru/rent/flat/275044798/,,,,,,,,,,
